"","latitude","longitude"
"906",-14.15091,131.32593
"907",-15.64362,131.14619
"908",-14.15024,131.3298
"909",-15.64301,131.14963
"910",-15.64635,131.15408
"911",-15.52012,129.98952
"912",-14.15237,131.34221
"913",-15.51419,129.97902
"914",-15.5099,129.959
"915",-15.49192,129.95126
"916",-15.49272,129.94664
"917",-15.49352,129.94202
"918",-14.1453,131.30899
"919",-15.6415,131.13483
"920",-15.64087,131.13838
"921",-14.14115,131.30823
"922",-15.49033,129.89371
"923",-15.50176,129.89203
"924",-15.50254,129.88737
"925",-15.46344,129.91393
"926",-15.63813,131.13051
"927",-15.63749,131.13411
"928",-15.63686,131.13768
"929",-15.50661,129.9109
"930",-15.50529,129.89629
"931",-15.50609,129.89163
"932",-15.50689,129.88701
"933",-15.5093,129.87306
"934",-15.50208,129.91487
"935",-15.50369,129.90555
"936",-15.49995,129.90489
"937",-15.50235,129.89101
"938",-15.50635,129.86786
"939",-15.50154,129.89565
"940",-15.50715,129.86324
"941",-16.48361,124.20747
"942",-16.78489,124.86997
"943",-16.78827,124.8705
"944",-12.75179,135.91107
"945",-12.75126,135.91057
"946",-16.51921,123.85798
"947",-16.51978,123.85397
"948",-16.5227,123.85851
"949",-32.85168,116.42064
"950",-15.4568,134.63419
"951",-15.68731,134.48248
"952",-15.53894,134.8219
"953",-15.48294,134.66141
"954",-15.42753,134.30357
"955",-15.51223,134.68929
"956",-15.47848,134.65735
"957",-15.47015,134.6463
"958",-15.48223,134.44916
"959",-15.43126,134.60439
"960",-15.54221,134.83232
"961",-15.54342,134.8261
"962",-15.45294,134.62717
"963",-15.47767,134.77132
"964",-15.45738,134.6312
"965",-15.43302,134.59541
"966",-15.43243,134.5984
"967",-15.47456,134.43549
"968",-15.38535,134.28355
"969",-15.43713,134.57437
"970",-15.46182,134.63525
"971",-15.46569,134.6423
"972",-15.48798,134.66243
"973",-15.58477,134.66611
"974",-15.57529,134.66113
"975",-15.57974,134.66515
"976",-15.39794,134.29782
"977",-15.68845,134.47665
"978",-15.47907,134.65431
"979",-15.49747,134.6675
"980",-15.51612,134.69618
"981",-15.46627,134.6393
"982",-15.46124,134.63826
"983",-15.48403,135.10402
"984",-15.67141,134.56435
"985",-15.47461,134.65031
"986",-15.65438,135.09387
"987",-15.66722,135.0833
"988",-15.4363,134.60533
"989",-15.40176,134.30452
"990",-15.43862,134.59343
"991",-15.48617,134.66206
"992",-15.43921,134.59044
"993",-15.53447,134.8177
"994",-15.51106,134.69522
"995",-15.43185,134.60139
"996",-15.51165,134.69225
